"theme","questioncourte","question","reponse_1","reponse_2","reponse_3","reponse_4","reponse_5","reponse_6","affectation_1","affectation_2","affectation_3","affectation_4","affectation_5","affectation_6"
"Economie","Les retraites","Comment faudrait-il traiter le dossier des retraites ?","Revenir à une retraite à 60 ans","Maintenir le départ à 62 ans","Reculer le départ à 64 ans","Reculer le départ à 65 ans","","","Arthaud, Poutou, Mélenchon, Roussel","Jadot, Hidalgo, Lassalle, Dupont-Aignan, Le Pen","Zemmour","Macron, Pécresse","",""
"Ecologie","Le nucléaire","Quelle position la France devrait-elle avoir sur l'énergie nucléaire civile ?","Planifier une sortie et fermer des centrales","En diminuer la part dans le mix énergétique","Construire de nouvelles centrales et investir dans la recherche","","","","Poutou, Mélenchon, Jadot","Hidalgo","Arthaud, Roussel, Macron, Pécresse, Lassalle, Dupont-Aignan, Le Pen, Zemmour","","",""
"Economie","L'impôt sur les grandes fortunes","Comment imposer les grandes fortunes ?","Renforcer l'imposition des très riches","Mettre en place un impôt sur la fortune climatique","Exonérer la résidence principale de l'impôt sur la fortune immobilière","Conserver le système actuel","","","Arthaud, Roussel, Lassalle, Poutou, Dupont-Aignan","Mélenchon, Jadot, Hidalgo","Pécresse, Zemmour, Le Pen","Macron","",""
"Economie","La durée légale du travail","Quelle approche faut-il avoir sur la durée légale du travail ?","Réduire le temps de travail","Libéraliser le temps de travail","Ne pas modifier la durée actuelle","","","","Arthaud, Poutou, Mélenchon, Roussel, Jadot, Hidalgo","Pécresse, Macron","Dupont-Aignan, Zemmour, Le Pen, Lassalle","","",""
"Politique","La durée du mandat présidentiel","Concernant la durée du mandat présidentiel, pensez-vous qu'il faut… ?","Conserver le quinquennat","Revenir au septennat","Décider de la durée du mandat par référendum","","","","Arthaud, Roussel, Poutou, Pécresse, Hidalgo, Macron, Zemmour","Jadot, Dupont-Aignan, Le Pen","Mélenchon, Lassalle","","",""
"Economie","Le smic","A propos du salaire minimum, faut-il… ?","L'augmenter fortement (entre 1 800 et 2 000 euros)","L'augmenter (entre 1 400 et 1 500 euros)","Ne pas l'augmenter mais baisser les cotisations","Ne pas l'augmenter","","","Arthaud, Poutou","Roussel, Mélenchon, Jadot, Lassalle, Hidalgo","Dupont-Aignan, Le Pen, Zemmour","Macron, Pécresse","",""
"Société","Le cannabis","Sur le cannabis, êtes-vous partisan de… ?","Le légaliser","Renforcer la répression","Lancer un débat démocratique sur le sujet","Le dépénaliser","","","Mélenchon, Jadot, Lassalle, Poutou","Macron, Pécresse, Dupont-Aignan, Le Pen, Zemmour","Roussel, Hidalgo","Arthaud","",""
"Société","L'accueil des migrants","Quelles sont les mesures à prendre pour l'accueil des migrants ?","Mieux accueillir les migrants","Durcir l'accès aux titres de séjour","Favoriser les expulsions","","","","Arthaud, Poutou, Mélenchon, Roussel, Jadot, Hidalgo","Macron, Pécresse","Lassalle, Dupont-Aignan, Le Pen, Zemmour","","",""
"Société","La chasse","A propos de la chasse, pensez-vous qu'il faut… ?","Interdire la chasse à courre","Interdire la chasse le week-end et les vacances scolaires","Défendre cette pratique populaire","","","","Arthaud, Hidalgo","Poutou, Mélenchon, Jadot","Roussel, Lassalle, Macron, Pécresse, Dupont-Aignan, Le Pen, Zemmour","","",""
"Société","Le pouvoir d'achat","Que faire pour maintenir le pouvoir d'achat ?","Augmenter les salaires (smic, point d'indice…)","Alléger impôts et cotisations","Verser une prime","","","","Arthaud, Roussel, Lassalle, Mélenchon, Hidalgo, Jadot, Poutou","Le Pen, Zemmour, Pécresse, Dupont-Aignan","Macron","","",""
"Société","L'interruption volontaire de grossesse ","L'IVG est désormais possible jusqu'à quatorze semaines. Faut-il… ?","Maintenir la loi actuelle","Revenir à douze semaines","","","","","Poutou, Mélenchon, Jadot, Roussel, Arthaud, Hidalgo, Macron","Le Pen, Zemmour, Pécresse, Dupont-Aignan","","","",""
"Politique","L'usage du référendum","Quel usage faudrait-il faire du référendum ?","Créer un référendum d'initiative citoyenne (RIC)","Favoriser les outils existants","","","","","Poutou, Mélenchon, Hidalgo, Dupont-Aignan, Pécresse, Lassalle, Le Pen, Jadot, Roussel","Macron, Zemmour","","","",""
"Economie","L'impôt sur le revenu","Concernant l'impôt sur le revenu, pensez-vous qu'il faut… ?","Le rendre plus progressif","En exonérer les moins de 30 ans","Réduire les impôts des couples","Garder le barême actuel","","","Poutou, Mélenchon, Roussel, Jadot","Le Pen","Macron","Hidalgo, Pécresse, Dupont-Aignan, Zemmour","",""
"Economie","Les minima sociaux","A propos des minima sociaux, souhaitez-vous… ?","Elargir le nombre de bénéficiaires","Conditionner certains minima sociaux à une activité","Les réserver aux Français","Les augmenter","","","Mélenchon, Roussel, Jadot, Lassalle, Poutou","Macron, Pécresse, Dupont-Aignan","Zemmour","Hidalgo, Arthaud","",""
"Politique","Le nombre de fonctionnaires","A propos du nombre de fonctionnaires, êtes-vous favorable à… ?","Créer massivement des postes","Favoriser des recrutements sectoriels, en particulier dans la police et la justice","Supprimer des postes","","","","Poutou, Mélenchon, Roussel, Jadot, Hidalgo","Le Pen, Dupont-Aignan, Zemmour","Pécresse","","",""
"International","Le pétrole et le gaz russes","Sur le pétrole et le gaz russes, faut-il… ?","Imposer un embargo strict","Diminuer les achats d'hydrocarbures russes","S'opposer à tout embargo","","","","Hidalgo, Jadot","Pécresse, Macron","Le Pen, Zemmour, Dupont-Aignan, Mélenchon, Arthaud, Roussel","","",""
"Sécurité","La prison","Quelle est la priorité pour les prisons ?","Créer des dizaines de milliers de places","Généraliser les alternatives à l'incarcération","Les rénover et améliorer la condition des détenus","","","","Macron, Pécresse, Dupont-Aignan, Le Pen, Zemmour","Poutou, Jadot, Hidalgo","Mélenchon","","",""
"Economie","La TVA","La taxe sur la valeur ajoutée (TVA) devrait être… ?","Réduite pour les produits de première nécessité","Supprimée","Réduite pour les produits pétroliers","Modulée selon l'impact sur l'environnement","Baissée ou supprimée sur une sélection de produits ou de services","","Mélenchon","Arthaud, Poutou","Lassalle","Jadot, Hidalgo","Pécresse, Dupont-Aignan",""
"Société","Les successions","Comment aborder l'imposition des héritages ?","Réduire la fiscalité d'une majorité des successions et augmenter celle des plus riches","Réduire la fiscalité des successions","Plafonner les successions à un certain montant","Favoriser la transmission d'entreprises","","","Roussel, Jadot, Hidalgo","Macron, Le Pen, Zemmour","Mélenchon","Dupont-Aignan, Pécresse","",""
"International","L'Union européenne","Quelle est la priorité dans nos relations vis-à-vis de l'UE ?","Se dégager des contraintes financières du pacte de stabilité","La remplacer par une Europe ""des travailleurs""","Privilégier le droit national sur le droit européen","Renforcer le rôle de l'UE (défense, diplomatie, politique)","","","Pécresse, Roussel, Hidalgo","Arthaud, Poutou","Le Pen, Lassalle, Mélenchon, Dupont-Aignan, Zemmour","Jadot, Macron","",""
"Société","L'avenir de l'automobile","Qu'imaginez-vous pour l'avenir de l'automobile ?","Diminuer le recours à la voiture","Favoriser l'achat de voitures électriques ou moins polluantes","Interdire à terme la vente des voitures thermiques neuves","Supprimer les contraintes sur les automobilistes","","","Mélenchon, Poutou, Arthaud","Macron, Hidalgo, Roussel, Dupont-Aignan","Jadot, Pécresse","Zemmour","",""
"Société","La promotion de la culture","Quelle est la priorité concernant la promotion de la culture ?","Augmenter le budget du ministère de la culture","Faciliter l'accès à la culture (gratuité, passe, etc.)","Faire porter un projet culturel à chaque école","Augmenter le budget consacré au patrimoine","Défendre les cultures régionales","","Mélenchon, Roussel, Jadot","Macron, Dupont-Aignan, Hidalgo","Pécresse","Zemmour","Poutou",""
